这是第1篇评论     2个人物
孙权 3
诸葛 3
黄盖 1
陆绩 1
张温 1
管宁 1
程昱 1
关羽 1
太史慈 3
士燮 2
诸葛瑾 2
诸葛恪 1
周瑜 2
鲁肃 1
吕蒙 1
程普 1
吕范 2
朱治 1
朱据 1
孙策 2
孙破虏 1
滕胤 1
嵇康 1
马超 1
赵云 2
陆逊 1
这是第14篇评论     15个人物
周瑜 23
孙策 2
公瑾 1
周景 22
周忠 7
周异 6
瑜 2
周循 2
周胤 2
全琮 1
周护 2
范晔 2
周兴 5
周崇 2
周晖 2
这是第15篇评论     0个人物
这是第16篇评论     7个人物
吕伯奢 14
曹操 9
太祖 11
伯奢 9
陈寿 2
废帝 1
王小波 1
这是第17篇评论     1个人物
曹操 1
这是第18篇评论     7个人物
刘备 16
拿破仑 10
阿斗 1
曹操 1
陈寿 1
裴松之 1
牛顿 8
这是第19篇评论     0个人物
这是第20篇评论     26个人物
刘备 41
曹操 53
孙权 4
陈寿 4
诸葛亮 3
刘表 1
刘琦 1
刘禅 3
刘璋 3
庞统 1
张松 2
裴松之 1
刘封 2
孟达 1
诸葛 1
太祖 1
曹丕 1
吕伯奢 2
孟德 1
孔融 1
崔琰 1
杨修 1
荀彧 1
毛玠 1
陶谦 1
王后卞氏 1
这是第21篇评论     3个人物
周瑜 2
皇叔 1
孔明 1
这是第22篇评论     3个人物
刘备 2
诸葛亮 1
曹操 1
这是第23篇评论     6个人物
辛毗 3
姜维 2
诸葛亮 7
司马懿 10
曹真 1
魏明帝 1
这是第24篇评论     7个人物
曹丕 1
范晔 1
陈寿 2
司马乂 1
吕思勉 2
曹操 1
张潮 3
这是第25篇评论     19个人物
曹操 10
曹孟德 2
刘备 9
赵云 5
阿斗 1
孟德 1
郭嘉 2
典韦 3
陶谦 1
刘表 1
刘璋 1
顺平侯 1
马超 4
魏武帝 1
曹丕 1
孙权 1
程昱 1
荀攸 1
贾诩 1
这是第26篇评论     14个人物
曹操 12
卞夫人 2
曹丕 4
曹植 1
卞皇后 1
魏文帝 1
孙坚 3
吴夫人 2
孙策 5
夫人 1
孙权 1
皇叔夫人 1
阿斗 1
曹公 1
这是第27篇评论     4个人物
曹操 1
曹丕 1
孙权 1
孙仲谋 1
这是第28篇评论     4个人物
吕伯奢 2
曹操 2
太祖 2
伯奢 1
这是第29篇评论     2个人物
常林 6
陈寿 1
这是第30篇评论     3个人物
曹冲 3
曹操 4
曹丕 2
这是第31篇评论     7个人物
裴松之 1
关公 1
曹操 1
